,index,type,geometry,properties.location_state,properties.estab_type,properties.zip_code,properties.city,properties.location_zip,properties.operation_type,properties.state,properties.location_address,properties.address_line_3,properties.location_city,properties.street_name,properties.dba_name,properties.county,properties.entity_name,properties.square_footage,properties.address_line_2,properties.street_number,properties.license_number,geometry.type,geometry.coordinates,address,_location,_latitude,_longitude,_status,_bin,_bbl
1350,9487,Feature,,NY,"JAC   ",11423,"HOLLIS            ",11423,Store,NY,191 02 JAMAICA AVENUE,"               ",HOLLIS,"JAMAICA AVENUE            ","VALERY GROCERY         ",Queens,"VALERY GROCERY CORP              ",1200,"             ",191-02,701965,,,191 02 JAMAICA AVENUE 191 02 JAMAICA AVENUE,?,?,?,Failed,?,?
1351,9489,Feature,,NY,"JAC   ",11432,"JAMAICA           ",11432,Store,NY,87 73-75 PARSONS BLVD,"               ",JAMAICA,"PARSONS BLVD            ","QUEEN OF SHEBA THE     ",Queens,"SPLENDID TRADING CORP            ",1000,"             ",87-73-75,631931,,,87 73-75 PARSONS BLVD 87 73-75 PARSONS BLVD,?,?,?,Failed,?,?
1352,9491,Feature,,NY,"JAC   ",11374,"REGO PARK         ",11374,Store,NY,94 01 63RD DR,"               ",REGO PARK,"63RD DR                    ","FAMILY FRUIT FARM      ",Queens,"BACKYARD FARM INC                ",1000,"             ",94-01,743113,,,94 01 63RD DR 94 01 63RD DR,?,?,?,Failed,?,?
1353,9494,Feature,,NY,"A     ",11385,"RIDGEWOOD         ",11385,Store,NY,61 15 METROPOLITAN AVE,"               ",RIDGEWOOD,"METROPOLITAN AVE       ","CVS PHARMACY #549      ",Queens,"CVS ALBANY LLC                   ",5000,"             ",61-15,672112,,,61 15 METROPOLITAN AVE 61 15 METROPOLITAN AVE,?,?,?,Failed,?,?
1354,9495,Feature,,NY,"JAC   ",11419,SOUTH RICHMOND HIL,11419,Store,NY,101 02 116TH ST,"               ",SOUTH RICHMOND HIL,"116TH ST                  ","APNA SOHNA BAZAR       ",Queens,"APNA SOHNA BAZAR ENTERPRISE INC  ",2000,"             ",101-02,725337,,,101 02 116TH ST 101 02 116TH ST,?,?,?,Failed,?,?
1355,9496,Feature,,NY,"JAC   ",11103,"GRAND STATION     ",11103,Store,NY,30 12 34TH ST,"               ",GRAND STATION,"34TH ST                    ","MEDITERRANEAN FOODS    ",Queens,"MEDITERRANEAN FOODS INC          ",2200,"             ",30-12,630278,,,30 12 34TH ST 30 12 34TH ST,?,?,?,Failed,?,?
1356,9501,Feature,,NY,"JAC   ",11101,"LONG ISLAND CITY  ",11101,Store,NY,36 46 37TH STREET,"               ",LONG ISLAND CITY,"37TH STREET                ",HUNGRY MONKEY BAKED GOO,Queens,"HUNGRY MONKEY LLC                ",0,"             ",36-46,729536,,,36 46 37TH STREET 36 46 37TH STREET,?,?,?,Failed,?,?
1357,9504,Feature,,NY,"JAC   ",11417,"OZONE PARK        ",11417,Store,NY,88 11 LIBERTY AVE,"               ",OZONE PARK,"LIBERTY AVE                ","MILK FARM SUPERMARKETS ",Queens,"AO XIN ZHOU SUPERMARKETS INC     ",5000,"             ",88-11,711471,,,88 11 LIBERTY AVE 88 11 LIBERTY AVE,?,?,?,Failed,?,?
1358,9505,Feature,,NY,"A     ",11385,"RIDGEWOOD         ",11385,Store,NY,70 02 CYPRESS HILLS ST,"               ",RIDGEWOOD,"CYPRESS HILLS ST           ","TODOROVICS BEER DIST   ",Queens,"TODOROVICS BEER DIST INC         ",1500,"             ",70-02,635501,,,70 02 CYPRESS HILLS ST 70 02 CYPRESS HILLS ST,?,?,?,Failed,?,?
1359,9507,Feature,,NY,"JAC   ",11354,"FLUSHING          ",11354,Store,NY,136 02 ROOSEVELT AVE,"               ",FLUSHING,"ROOSEVELT AVE     ","DUANE READE #14438     ",Queens,"DUANE READE ET AL PTRS           ",18000,"             ",136-02,670291,,,136 02 ROOSEVELT AVE 136 02 ROOSEVELT AVE,?,?,?,Failed,?,?
1360,9509,Feature,,NY,"JAC   ",11416,"OZONE PARK        ",11416,Store,NY,74 25 101ST AVE,"               ",OZONE PARK,"101ST AVE                  ",CITY LINE FAMILY DELI &,Queens,CITY LINE FAMILY DELI & GROCERY I,800,"             ",74-25,737359,,,74 25 101ST AVE 74 25 101ST AVE,?,?,?,Failed,?,?
1361,9510,Feature,,NY,"JAC   ",11355,"FLUSHING          ",11355,Store,NY,44 39 KISSENA BLVD,"               ",FLUSHING,"KISSENA BLVD               ",HAPPY FRUITS&VEGETABLES,Queens,HAPPY FRUITS&VEGETABLES OF NY INC,1200,"             ",44-39,632773,,,44 39 KISSENA BLVD 44 39 KISSENA BLVD,?,?,?,Failed,?,?
1362,9512,Feature,,NY,"JAC   ",11106,"ASTORIA           ",11106,Store,NY,35 27 31ST ST,"               ",ASTORIA,"31ST ST                    ","SAMOSSA BITES          ",Queens,"SAMOSSA BITES CORP               ",3000,"             ",35-27,712536,,,35 27 31ST ST 35 27 31ST ST,?,?,?,Failed,?,?
1363,9517,Feature,,NY,"JAC   ",11412,"SAINT ALBANS      ",11412,Store,NY,111 04 FARMERS BLVD,"               ",SAINT ALBANS,"FARMERS BLVD              ","FARMERS DELI GROCERY   ",Queens,"OVIEDO ARGENTINA                 ",1200,"             ",111-04,706842,,,111 04 FARMERS BLVD 111 04 FARMERS BLVD,?,?,?,Failed,?,?
1364,9520,Feature,,NY,"JAC   ",11372,"JACKSON HEIGHTS   ",11372,Store,NY,95 31 ROOSEVELT AVE,"               ",JACKSON HEIGHTS,"ROOSEVELT AVE              ","SEATIDE                ",Queens,"SEATIDE FISH&LOBSTER INC         ",1500,"             ",95-31,633028,,,95 31 ROOSEVELT AVE 95 31 ROOSEVELT AVE,?,?,?,Failed,?,?
1365,9521,Feature,,NY,"JAC   ",11355,"FLUSHING          ",11355,Store,NY,42 92 MAIN ST,"               ",FLUSHING,"MAIN ST                    ","PATEL BROTHERS         ",Queens,"JAY AMBAY INC                    ",4000,"             ",42-92,634990,,,42 92 MAIN ST 42 92 MAIN ST,?,?,?,Failed,?,?
1366,9524,Feature,,NY,"JAC   ",11385,"RIDGEWOOD         ",11385,Store,NY,67 21 FRESH POND RD,"               ",RIDGEWOOD,"FRESH POND RD          ","7 ELEVEN STORE #33684H ",Queens,"7-ELEVEN INC                     ",1800,"             ",67-21,737604,,,67 21 FRESH POND RD 67 21 FRESH POND RD,?,?,?,Failed,?,?
1367,9527,Feature,,NY,"JAC   ",11101,"LONG ISLAND CITY  ",11101,Store,NY,41 28 37TH STREET,"               ",LONG ISLAND CITY,"37TH STREET            ","HOT FIRE HOT SAUCE     ",Queens,"HOT FIRE FOODS LLC               ",0,"             ",41-28,738497,,,41 28 37TH STREET 41 28 37TH STREET,?,?,?,Failed,?,?
1368,9530,Feature,,NY,"JAC   ",11372,"JACKSON HEIGHTS   ",11372,Store,NY,95 02 35TH AVENUE,"               ",JACKSON HEIGHTS,"35TH AVENUE                ",PERLA DORADA DELI GROCE,Queens,"PERLA DORADA DELI GROCERY CORP   ",0,"             ",95-02,725166,,,95 02 35TH AVENUE 95 02 35TH AVENUE,?,?,?,Failed,?,?
1369,9537,Feature,,NY,"JAC   ",11373,"ELMHURST          ",11373,Store,NY,85 07 WHITNEY AVE,"               ",ELMHURST,"WHITNEY AVE          ","BAPPY SWEETS           ",Queens,"BAPPY SWEETS INC                 ",2000,"             ",85-07,639205,,,85 07 WHITNEY AVE 85 07 WHITNEY AVE,?,?,?,Failed,?,?
1370,9538,Feature,,NY,"JAC   ",11354,"FLUSHING          ",11354,Store,NY,40 38 UNION ST,"               ",FLUSHING,"UNION ST                   ","FRESH MART             ",Queens,"AKSHAR 41 INC                    ",1200,"             ",40-38,639266,,,40 38 UNION ST 40 38 UNION ST,?,?,?,Failed,?,?
1371,9541,Feature,,NY,"JABC  ",11418,"RICHMOND HILL     ",11418,Store,NY,130 10 METROPOLITAN AVE,"               ",RICHMOND HILL,"METROPOLITAN AVE      ","TRADE FAIR II          ",Queens,"130-10 FOOD CORP                 ",20000,"             ",130-10,630493,,,130 10 METROPOLITAN AVE 130 10 METROPOLITAN AVE,?,?,?,Failed,?,?
1372,9542,Feature,,NY,"JAC   ",11419,SOUTH RICHMOND HIL,11419,Store,NY,120 22 101ST AVENUE,"               ",SOUTH RICHMOND HIL,"101ST AVENUE              ","101 DELI NY            ",Queens,"101 DELI NY INC                  ",1500,"             ",120-22,731058,,,120 22 101ST AVENUE 120 22 101ST AVENUE,?,?,?,Failed,?,?
1373,9543,Feature,,NY,"JAC   ",11223,"BROOKLYN          ",11223,Store,NY,119 AVENUE,"               ",BROOKLYN,"AVENUE U                     ","T-L FOOD MARKET        ",Kings,"T-L FOOD MARKET INC              ",4000,"             ",119,671284,,,119 AVENUE 119 AVENUE,?,?,?,Failed,?,?
1374,9546,Feature,,NY,"JAC   ",11419,SOUTH RICHMOND HIL,11419,Store,NY,130 04 101ST AVENUE,"               ",SOUTH RICHMOND HIL,"101ST AVENUE              ","PUNJAB HALAL MEAT      ",Queens,"AD HALAL MEAT CORP               ",0,"             ",130-04,719898,,,130 04 101ST AVENUE 130 04 101ST AVENUE,?,?,?,Failed,?,?
1375,9552,Feature,,NY,"JAC   ",11372,"JACKSON HEIGHTS   ",11372,Store,NY,37 16 73RD ST,"               ",JACKSON HEIGHTS,"73RD ST                    ","KHAAMAR BAARI          ",Queens,"KHAAMAR BAARI CORP               ",1800,"             ",37-16,636795,,,37 16 73RD ST 37 16 73RD ST,?,?,?,Failed,?,?
1376,9558,Feature,,NY,"JAC   ",11436,"JAMAICA           ",11436,Store,NY,147 02 FOCH BLVD,"               ",JAMAICA,"FOCH BLVD                 ","POLANCO DELI GROCERY   ",Queens,"POLANCO PORFIRIO N               ",2000,"             ",147-02,639067,,,147 02 FOCH BLVD 147 02 FOCH BLVD,?,?,?,Failed,?,?
1377,9559,Feature,,NY,"A     ",11377,"WOODSIDE          ",11377,Store,NY,63 01 39TH AVE,"               ",WOODSIDE,"39TH AVE                   ","COME N PICK            ",Queens,"MARK INTERNATIONAL LLC           ",0,"             ",63-01,738637,,,63 01 39TH AVE 63 01 39TH AVE,?,?,?,Failed,?,?
1378,9560,Feature,,NY,"JAC   ",11368,"CORONA            ",11368,Store,NY,108 19 ROOSEVELT AVE,"               ",CORONA,"ROOSEVELT AVE             ","LA PEQUENA FARM        ",Queens,"LA PEQUENA FARM CORP             ",2000,"             ",108-19,711689,,,108 19 ROOSEVELT AVE 108 19 ROOSEVELT AVE,?,?,?,Failed,?,?
1379,9570,Feature,,NY,"JAC   ",11377,"WOODSIDE          ",11377,Store,NY,51 19 SKILLMAN AVE,"               ",WOODSIDE,"SKILLMAN AVE               ",MARYS EXPRESS DELI&GRCY,Queens,"MARYS EXPRESS DELI&GROCERY LLC   ",1200,"             ",51-19,639430,,,51 19 SKILLMAN AVE 51 19 SKILLMAN AVE,?,?,?,Failed,?,?
1380,9573,Feature,,NY,"JAC   ",11375,"FOREST HILLS      ",11375,Store,NY,110 84A QUEENS BLVD,"               ",FOREST HILLS,"QUEENS BLVD              ","OPTIMO GROCERY         ",Queens,"MAHEK GROCERY INC                ",2000,"             ",110-84A,639542,,,110 84A QUEENS BLVD 110 84A QUEENS BLVD,?,?,?,Failed,?,?
1381,9574,Feature,,NY,"A     ",11106,"ASTORIA           ",11106,Store,NY,36 11,"               ",ASTORIA,"BROADWAY                   ","DEALS & DISCOUNTS      ",Queens,"ASTORIA QUEENS ENTERPRISES LLC   ",2500,"             ",36-11,721996,,,36 11 36 11,?,?,?,Failed,?,?
1382,9576,Feature,,NY,"A     ",11429,"QUEENS VILLAGE    ",11429,Store,NY,109 62,"               ",QUEENS VILLAGE,"FRANCIS LEWIS             ","WALGREENS 2055         ",Queens,"WALGREEN EASTERN CO INC          ",10000,"             ",109-62,636405,,,109 62 109 62,?,?,?,Failed,?,?
1383,9577,Feature,,NY,"JAC   ",11435,"JAMAICA           ",11435,Store,NY,148 35 JAMAICA AVENUE,"               ",JAMAICA,"JAMAICA AVENUE            ","KEY FOOD               ",Queens,"HANS KF CORP                     ",0,"             ",148-35,742630,,,148 35 JAMAICA AVENUE 148 35 JAMAICA AVENUE,?,?,?,Failed,?,?
1384,9578,Feature,,NY,"JAC   ",11357,"WHITESTONE        ",11357,Store,NY,149 52 14TH AVENUE,"               ",WHITESTONE,"14TH AVENUE           ","7 ELEVEN SOTRE #32120B ",Queens,"HSYW INC                         ",3500,"             ",149-52,739258,,,149 52 14TH AVENUE 149 52 14TH AVENUE,?,?,?,Failed,?,?
1385,9580,Feature,,NY,"JAC   ",11101,"LONG ISLAND CITY  ",11101,Store,NY,49 12 VERNON BLVD,"               ",LONG ISLAND CITY,"VERNON BLVD                ","E & I DELI & GROCERY   ",Queens,"CESI VERNON CORP                 ",1500,"             ",49-12,725062,,,49 12 VERNON BLVD 49 12 VERNON BLVD,?,?,?,Failed,?,?
1386,9583,Feature,,NY,"A     ",11372,"JACKSON HEIGHTS   ",11372,Store,NY,85 10 NORTHERN BLVD,"               ",JACKSON HEIGHTS,"NORTHERN BLVD              ",RITE AID PHARMACY 03581,Queens,"RITE AID OF NEW YORK INC         ",12000,"             ",85-10,636602,,,85 10 NORTHERN BLVD 85 10 NORTHERN BLVD,?,?,?,Failed,?,?
1387,9585,Feature,,NY,"JAC   ",11411,"CAMBRIA HEIGHTS   ",11411,Store,NY,225 14 LINDEN BLVD,"               ",CAMBRIA HEIGHTS,"LINDEN BLVD               ",HEALTHY LIVING FOOD STO,Queens,"MILORD JOSEPH                    ",1200,"             ",225-14,714463,,,225 14 LINDEN BLVD 225 14 LINDEN BLVD,?,?,?,Failed,?,?
1388,9587,Feature,,NY,"JAC   ",11373,"ELMHURST          ",11373,Store,NY,80 03,"               ",ELMHURST,"BROADWAY                   ",ELMHURST MEXICAN GROCRY,Queens,"ELMHURST MEXICAN GROCERY CORP    ",1000,"             ",80-03,639191,,,80 03 80 03,?,?,?,Failed,?,?
